texto_cv,area
"experiencia en marketing digital y ventas en empresas internacionales","marketing"
"gestión de personal y procesos de recursos humanos","RRHH"
"análisis financiero, contabilidad y control presupuestario","finanzas"
"planificación administrativa y coordinación de equipos","administrativo"
"desarrollo de software, programación y sistemas informáticos","sistemas"
"campañas publicitarias y manejo de redes sociales","marketing"
"selección de personal y capacitación laboral","RRHH"
"elaboración de informes financieros y auditorías","finanzas"
"control de inventarios y organización de oficinas","administrativo"
"mantenimiento de bases de datos y desarrollo web","sistemas"
